Type de site;Code;Nom;Alias;Description;Date d'entrée en service (à 00h00);Date de fin de service (à 00h00);Etat;Adresse;Code commune;Commune;Code ZAS;Nom ZAS;Code réseau;Nom réseau;Code organisme;Organisme;Conformité;Commentaire;Longitude;Latitude;Altitude;Système de projection;Implantation;Mobilité;Dispersion régionale;Dispersion locale;Paramètre météo;Nombre de véhicules;Pourcentage de camions;Vitesse moyenne (en km/h);Distance au carrefour (m);Hauteur du bâtiment (m);Largeur de la route (m);Culture dominante;Culture secondaire;Pourcentage vigne 5km;Pourcentage verger 5km;Pourcentage zones urbanisees 5km;Pourcentage grandes cultures 5km;Nombre d'habitants 5km;Pourcentage vigne 1km;Pourcentage verger 1km;Pourcentage zones urbanisees 1km;Pourcentage grandes cultures 1km;Nombre d'habitants 1km;Distance à la parcelle la plus proche (m);Photos du site de mesure;Photo;Version;Date de début de version (à 00h00);Date de fin de version (à 00h00);Motif de fin de la version;Motif de création de la version
classique;FR33120;CHAMONIX;CHAMONIX;;31/10/1997;;En service;Rue du Lyret;74056;CHAMONIX-MONT-BLANC;FR84ZAR03;ZAR VALLEE-DE-L-ARVE;33;L AIR DE L AIN ET DES PAYS DE SAVOIE;32;ATMO AUVERGNE-RHÔNE-ALPES;1;;6.87;45.9225;1038.0;World geometric system 1984;Urbaine;Station Fixe;Bassin en terrain montagneux;Bâtiments arbres isolés ou bâtiments arbres compacts d'un seul côté;;;;;;;;;;;;;;;;;;;;;;;2;01/01/2017;;;Changement de ZAS avec nouveau zonage 2017
classique;FR33220;PASSY;PASSY;;06/07/2006;;En service;Impasse des Primeveres;74208;PASSY;FR84ZAR03;ZAR VALLEE-DE-L-ARVE;33;L AIR DE L AIN ET DES PAYS DE SAVOIE;32;ATMO AUVERGNE-RHÔNE-ALPES;1;;6.713611;45.92361;588.0;World geometric system 1984;Périurbaine;Station Fixe;Bassin en terrain montagneux;Bâtiments arbres isolés ou bâtiments arbres compacts d'un seul côté;;;;;;;;;;;;;;;;;;;;;;;2;01/01/2017;;;Changement de ZAS avec nouveau zonage 2017
classique;FR33232;BOSSONS;BOSSONS;;20/03/2006;;En service;RD 1205;74056;CHAMONIX-MONT-BLANC;FR84ZAR03;ZAR VALLEE-DE-L-ARVE;33;L AIR DE L AIN ET DES PAYS DE SAVOIE;32;ATMO AUVERGNE-RHÔNE-ALPES;1;;6.845833;45.907223;1044.0;World geometric system 1984;Urbaine;Station Fixe;Vallée en terrain montagneux;Terrain découvert;;20092;;;150;6;23;;;;;;;;;;;;;;;;2;01/01/2017;;;Changement de ZAS avec nouveau zonage 2017
